,original_name,release_date,genres,overview,total_views,popularity,vote_average,vote_count,content
523,Goosebumps,2015,Comedy Adventure Horror,"After moving to a small town, Zach Cooper finds a silver lining when he meets next door neighbor Hannah, the daughter of bestselling Goosebumps series author R.L. Stine. When Zach unintentionally unleashes real monsters from their manuscripts and they begin to terrorize the town, it’s suddenly up to Stine, Zach and Hannah to get all of them back in the books where they belong.",285,64.935,6.3,3202,"Comedy Adventure Horror 2015 After moving to a small town, Zach Cooper finds a silver lining when he meets next door neighbor Hannah, the daughter of bestselling Goosebumps series author R.L. Stine. When Zach unintentionally unleashes real monsters from their manuscripts and they begin to terrorize the town, it’s suddenly up to Stine, Zach and Hannah to get all of them back in the books where they belong."
524,Fool's Gold,2008,Comedy Adventure Romance,"Treasure hunter Ben 'Finn' Finnegan has sunk both his trusty boat and his marriage to Tess in his obsessive quest to find the legendary 'Queen's Dowry' treasure. When he finds a vital clue that may finally pinpoint the treasure's whereabouts, he drags Tess and her boss along on the hunt. But Finn is not the only one interested in the gold—his former mentor-turned-enemy will stop at nothing to beat him to it.",120,17.143,5.7,1196,"Comedy Adventure Romance 2008 Treasure hunter Ben 'Finn' Finnegan has sunk both his trusty boat and his marriage to Tess in his obsessive quest to find the legendary 'Queen's Dowry' treasure. When he finds a vital clue that may finally pinpoint the treasure's whereabouts, he drags Tess and her boss along on the hunt. But Finn is not the only one interested in the gold—his former mentor-turned-enemy will stop at nothing to beat him to it."
525,Knight and Day,2010,Comedy Action,"A fugitive couple goes on a glamorous and sometimes deadly adventure where nothing and no one – even themselves – are what they seem. Amid shifting alliances and unexpected betrayals, they race across the globe, with their survival ultimately hinging on the battle of truth vs. trust.",180,92.209,6.2,3677,"Comedy Action 2010 A fugitive couple goes on a glamorous and sometimes deadly adventure where nothing and no one – even themselves – are what they seem. Amid shifting alliances and unexpected betrayals, they race across the globe, with their survival ultimately hinging on the battle of truth vs. trust."
526,300: Rise of an Empire,2014,Drama Action War,"Greek general Themistokles attempts to unite all of Greece by leading the charge that will change the course of the war. Themistokles faces the massive invading Persian forces led by mortal-turned-god, Xerxes and Artemesia, the vengeful commander of the Persian navy.",572,84.633,6.1,5485,"Drama Action War 2014 Greek general Themistokles attempts to unite all of Greece by leading the charge that will change the course of the war. Themistokles faces the massive invading Persian forces led by mortal-turned-god, Xerxes and Artemesia, the vengeful commander of the Persian navy."
527,The Odd Life of Timothy Green,2012,Comedy Drama Family Fantasy,"A childless couple bury a box in their backyard, containing all of their wishes for an infant. Soon, a child is born, though Timothy Green is not all that he appears.",282,18.512,7.0,996,"Comedy Drama Family Fantasy 2012 A childless couple bury a box in their backyard, containing all of their wishes for an infant. Soon, a child is born, though Timothy Green is not all that he appears."
528,Jackass Presents: Bad Grandpa .5,2014,Comedy,"Bad Grandpa .5 gives you a whole new perspective on the world of Irving Zisman with bonus scenes and pranks also featuring Spike Jonze as ""Gloria"" and Catherine Keener as Irving's wife ""Ellie"", plus a look at the evolution of Johnny Knoxville's naughty alter-ego, the makeup effects, and a behind-the-scenes peek at the idiocy it takes to make a hidden camera movie in public.",83,20.366,5.9,191,"Comedy 2014 Bad Grandpa .5 gives you a whole new perspective on the world of Irving Zisman with bonus scenes and pranks also featuring Spike Jonze as ""Gloria"" and Catherine Keener as Irving's wife ""Ellie"", plus a look at the evolution of Johnny Knoxville's naughty alter-ego, the makeup effects, and a behind-the-scenes peek at the idiocy it takes to make a hidden camera movie in public."
529,All Good Things,2010,Crime Drama Mystery Romance Thriller,"Newly-discovered facts, court records and speculation are used to elaborate the true love story and murder mystery of the most notorious unsolved murder case in New York history.",265,11.808,6.1,718,"Crime Drama Mystery Romance Thriller 2010 Newly-discovered facts, court records and speculation are used to elaborate the true love story and murder mystery of the most notorious unsolved murder case in New York history."
530,Jimmy Neutron: Boy Genius,2001,Animation Comedy Family Action Adventure Science Fiction,"Jimmy Neutron is a boy genius and way ahead of his friends, but when it comes to being cool, he's a little behind. All until one day when his parents, and parents all over Earth are kidnapped by aliens, it's up to him to lead all the children of the world to rescue their parents.",559,26.946,5.9,702,"Animation Comedy Family Action Adventure Science Fiction 2001 Jimmy Neutron is a boy genius and way ahead of his friends, but when it comes to being cool, he's a little behind. All until one day when his parents, and parents all over Earth are kidnapped by aliens, it's up to him to lead all the children of the world to rescue their parents."
531,Star Trek: The Motion Picture,1979,Mystery Adventure Science Fiction,"When a destructive space entity is spotted approaching Earth, Admiral Kirk resumes command of the Starship Enterprise in order to intercept, examine, and hopefully stop it.",84,26.204,6.5,1299,"Mystery Adventure Science Fiction 1979 When a destructive space entity is spotted approaching Earth, Admiral Kirk resumes command of the Starship Enterprise in order to intercept, examine, and hopefully stop it."
532,The General's Daughter,1999,Crime Drama Mystery Thriller,"When the body of Army Capt. Elizabeth Campbell is found on a Georgia military base, two investigators, Warrant Officers Paul Brenner and Sara Sunhill, are ordered to solve her murder. What they uncover is anything but clear-cut. Unseemly details emerge about Campbell's life, leading to allegations of a possible military coverup of her death and the involvement of her father, Lt. Gen. Joseph Campbell.",53,16.192,6.4,694,"Crime Drama Mystery Thriller 1999 When the body of Army Capt. Elizabeth Campbell is found on a Georgia military base, two investigators, Warrant Officers Paul Brenner and Sara Sunhill, are ordered to solve her murder. What they uncover is anything but clear-cut. Unseemly details emerge about Campbell's life, leading to allegations of a possible military coverup of her death and the involvement of her father, Lt. Gen. Joseph Campbell."
533,Phantom Punch,2008,Drama,"From his discovery by a priest while serving time at the Missouri State Penitentiary to the infamous 'Phantom Punch' by Cassius Clay which effectively ended his career, the movie spans the years from 1950 to Liston's mysterious and untimely death in 1971.",252,6.34,5.5,11,"Drama 2008 From his discovery by a priest while serving time at the Missouri State Penitentiary to the infamous 'Phantom Punch' by Cassius Clay which effectively ended his career, the movie spans the years from 1950 to Liston's mysterious and untimely death in 1971."
534,12 Rounds,2009,Crime Action Thriller,"When New Orleans Police Detective Danny Fisher stops a brilliant thief from getting away with a multimillion-dollar heist, the thief's girlfriend is accidentally killed. After escaping from prison, the criminal mastermind enacts his revenge, taunting Danny with 12 rounds of near-impossible puzzles and tasks that he must somehow complete to save the life of the woman he loves.",32,93.355,5.9,598,"Crime Action Thriller 2009 When New Orleans Police Detective Danny Fisher stops a brilliant thief from getting away with a multimillion-dollar heist, the thief's girlfriend is accidentally killed. After escaping from prison, the criminal mastermind enacts his revenge, taunting Danny with 12 rounds of near-impossible puzzles and tasks that he must somehow complete to save the life of the woman he loves."
535,American Psycho,2000,Crime Drama Horror Thriller,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies.",345,73.528,7.4,7779,"Crime Drama Horror Thriller 2000 A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies."
536,Constantine,2005,Action Fantasy Horror,"John Constantine has literally been to Hell and back. When he teams up with a policewoman to solve the mysterious suicide of her twin sister, their investigation takes them through the world of demons and angels that exists beneath the landscape of contemporary Los Angeles.",81,103.519,7.0,5524,"Action Fantasy Horror 2005 John Constantine has literally been to Hell and back. When he teams up with a policewoman to solve the mysterious suicide of her twin sister, their investigation takes them through the world of demons and angels that exists beneath the landscape of contemporary Los Angeles."
537,When in Rome,2010,Comedy Fantasy Romance,"After fishing out coins from a water fountain in Italy, cynical New Yorker Beth Harper finds herself being wooed by several ardent suitors. As she deals with the attention, Beth tries to figure out whether a charming reporter really loves her.",109,11.339,6.0,1034,"Comedy Fantasy Romance 2010 After fishing out coins from a water fountain in Italy, cynical New Yorker Beth Harper finds herself being wooed by several ardent suitors. As she deals with the attention, Beth tries to figure out whether a charming reporter really loves her."
538,Monster-in-Law,2005,Comedy Romance,"Office temp Charlotte Cantilini thinks she's found Mr. Right when she starts dating gorgeous surgeon Dr. Kevin Fields. But there's a problem standing in the way of everlasting bliss: Kevin's overbearing and controlling mother, Viola. Fearing she'll lose her son's affections forever, Viola decides to break up the happy couple by becoming the world's worst mother-in-law.",36,26.099,6.2,1350,"Comedy Romance 2005 Office temp Charlotte Cantilini thinks she's found Mr. Right when she starts dating gorgeous surgeon Dr. Kevin Fields. But there's a problem standing in the way of everlasting bliss: Kevin's overbearing and controlling mother, Viola. Fearing she'll lose her son's affections forever, Viola decides to break up the happy couple by becoming the world's worst mother-in-law."
539,Addams Family Values,1993,Comedy Family Fantasy,"Siblings Wednesday and Pugsley Addams will stop at nothing to get rid of Pubert, the new baby boy adored by parents Gomez and Morticia. Things go from bad to worse when the new ""black widow"" nanny, Debbie Jellinsky, launches her plan to add Fester to her collection of dead husbands.",302,54.354,6.9,2262,"Comedy Family Fantasy 1993 Siblings Wednesday and Pugsley Addams will stop at nothing to get rid of Pubert, the new baby boy adored by parents Gomez and Morticia. Things go from bad to worse when the new ""black widow"" nanny, Debbie Jellinsky, launches her plan to add Fester to her collection of dead husbands."
540,Escobar: Paradise Lost,2014,Romance Thriller,"For Pablo Escobar family is everything. When young surfer Nick falls for Escobar's niece, Maria, he finds his life on the line when he's pulled into the dangerous world of the family business.",238,20.137,6.3,661,"Romance Thriller 2014 For Pablo Escobar family is everything. When young surfer Nick falls for Escobar's niece, Maria, he finds his life on the line when he's pulled into the dangerous world of the family business."
541,Coherence,2013,Science Fiction Thriller,"On the night of an astronomical anomaly, eight friends at a dinner party experience a troubling chain of reality bending events.",113,26.652,7.3,2133,"Science Fiction Thriller 2013 On the night of an astronomical anomaly, eight friends at a dinner party experience a troubling chain of reality bending events."
542,American Hustle,2013,Crime Drama,"A conman and his seductive partner are forced to work for a wild FBI agent, who pushes them into a world of Jersey power-brokers and the Mafia.",754,25.871,6.8,6236,"Crime Drama 2013 A conman and his seductive partner are forced to work for a wild FBI agent, who pushes them into a world of Jersey power-brokers and the Mafia."
543,Appleseed Alpha,2014,Animation Action Science Fiction,"Based on the comic book by the creator of Ghost in the Shell, a young female soldier Deunan and her cyborg partner Briareos survive through the post World War 3 apocalyptic New York in search of human's future hope, the legendary city of Olympus.",970,16.056,6.8,290,"Animation Action Science Fiction 2014 Based on the comic book by the creator of Ghost in the Shell, a young female soldier Deunan and her cyborg partner Briareos survive through the post World War 3 apocalyptic New York in search of human's future hope, the legendary city of Olympus."
544,Shoot 'Em Up,2007,Comedy Crime Action Thriller,"A man named Mr. Smith delivers a woman's baby during a shootout, and is then called upon to protect the newborn from the army of gunmen.",143,27.005,6.4,1476,"Comedy Crime Action Thriller 2007 A man named Mr. Smith delivers a woman's baby during a shootout, and is then called upon to protect the newborn from the army of gunmen."
545,The Wolverine,2013,Action Adventure Fantasy Science Fiction,"Wolverine faces his ultimate nemesis - and tests of his physical, emotional, and mortal limits - in a life-changing voyage to modern-day Japan.",356,20.284,6.4,8189,"Action Adventure Fantasy Science Fiction 2013 Wolverine faces his ultimate nemesis - and tests of his physical, emotional, and mortal limits - in a life-changing voyage to modern-day Japan."
546,Arthur Newman,2012,Drama,"A story of a man who fakes his own death and assumes a new identity in order to escape his life, who then moves in with a woman who is also trying to leave her past behind.",109,10.239,5.7,173,"Drama 2012 A story of a man who fakes his own death and assumes a new identity in order to escape his life, who then moves in with a woman who is also trying to leave her past behind."
547,Proof of Life,2000,Drama Action Adventure Romance Thriller,"Alice hires a professional negotiator to obtain the release of her engineer husband, who has been kidnapped by anti-government guerrillas in South America.",23,13.235,6.1,619,"Drama Action Adventure Romance Thriller 2000 Alice hires a professional negotiator to obtain the release of her engineer husband, who has been kidnapped by anti-government guerrillas in South America."
548,A Walk Among the Tombstones,2014,Crime Drama Mystery Thriller,Private investigator Matthew Scudder is hired by a drug kingpin to find out who kidnapped and murdered his wife.,405,97.433,6.3,2368,Crime Drama Mystery Thriller 2014 Private investigator Matthew Scudder is hired by a drug kingpin to find out who kidnapped and murdered his wife.
549,Star Trek Into Darkness,2013,Action Adventure Science Fiction,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",154,61.899,7.3,7962,"Action Adventure Science Fiction 2013 When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew."
550,The Internship,2013,Comedy,Two recently laid-off men in their 40s try to make it as interns at a successful Internet company where their managers are in their 20s.,143,1.662,6.3,3595,Comedy 2013 Two recently laid-off men in their 40s try to make it as interns at a successful Internet company where their managers are in their 20s.
551,Jackie Brown,1997,Crime Drama Thriller,"Jackie Brown is a flight attendant who gets caught in the middle of smuggling cash into the country for her gunrunner boss. When the cops try to use Jackie to get to her boss, she hatches a plan — with help from a bail bondsman — to keep the money for herself.",614,25.981,7.3,5202,"Crime Drama Thriller 1997 Jackie Brown is a flight attendant who gets caught in the middle of smuggling cash into the country for her gunrunner boss. When the cops try to use Jackie to get to her boss, she hatches a plan — with help from a bail bondsman — to keep the money for herself."
552,The Armstrong Lie,2013,Documentary,"In 2009, Alex Gibney was hired to make a film about Lance Armstrong’s comeback to cycling. The project was shelved when the doping scandal erupted, and re-opened after Armstrong’s confession. The Armstrong Lie picks up in 2013 and presents a riveting, insider's view of the unraveling of one of the most extraordinary stories in the history of sports. As Lance Armstrong says himself, “I didn’t live a lot of lies, but I lived one big one.”",385,6.937,6.9,91,"Documentary 2013 In 2009, Alex Gibney was hired to make a film about Lance Armstrong’s comeback to cycling. The project was shelved when the doping scandal erupted, and re-opened after Armstrong’s confession. The Armstrong Lie picks up in 2013 and presents a riveting, insider's view of the unraveling of one of the most extraordinary stories in the history of sports. As Lance Armstrong says himself, “I didn’t live a lot of lies, but I lived one big one.”"
553,Tomorrowland,2015,Family Mystery Adventure Science Fiction,"Bound by a shared destiny, a bright, optimistic teen bursting with scientific curiosity and a former boy-genius inventor jaded by disillusionment embark on a danger-filled mission to unearth the secrets of an enigmatic place somewhere in time and space that exists in their collective memory as ""Tomorrowland.""",410,85.102,6.2,6116,"Family Mystery Adventure Science Fiction 2015 Bound by a shared destiny, a bright, optimistic teen bursting with scientific curiosity and a former boy-genius inventor jaded by disillusionment embark on a danger-filled mission to unearth the secrets of an enigmatic place somewhere in time and space that exists in their collective memory as ""Tomorrowland."""
554,True Grit,2010,Drama Western Adventure,"Following the murder of her father by a hired hand, a 14-year-old farm girl sets out to capture the killer. To aid her, she hires the toughest U.S. Marshal she can find—a man with 'true grit'—Reuben J. 'Rooster' Cogburn.",73,21.637,7.3,4352,"Drama Western Adventure 2010 Following the murder of her father by a hired hand, a 14-year-old farm girl sets out to capture the killer. To aid her, she hires the toughest U.S. Marshal she can find—a man with 'true grit'—Reuben J. 'Rooster' Cogburn."
555,Beverly Hills Chihuahua,2008,Comedy Family Adventure Romance,"A pampered Beverly Hills chihuahua named Chloe who, while on vacation in Mexico with her owner Viv's niece, Rachel, gets lost and must rely on her friends to help her get back home before she is caught by a dognapper who wants to ransom her.",113,92.525,5.3,850,"Comedy Family Adventure Romance 2008 A pampered Beverly Hills chihuahua named Chloe who, while on vacation in Mexico with her owner Viv's niece, Rachel, gets lost and must rely on her friends to help her get back home before she is caught by a dognapper who wants to ransom her."
556,Ocean's Thirteen,2007,Crime Thriller,"Danny Ocean's team of criminals are back and composing a plan more personal than ever. When ruthless casino owner Willy Bank doublecrosses Reuben Tishkoff, causing a heart attack, Danny Ocean vows that he and his team will do anything to bring down Willy Bank along with everything he's got. Even if it means asking for help from an enemy.",145,24.062,6.7,5247,"Crime Thriller 2007 Danny Ocean's team of criminals are back and composing a plan more personal than ever. When ruthless casino owner Willy Bank doublecrosses Reuben Tishkoff, causing a heart attack, Danny Ocean vows that he and his team will do anything to bring down Willy Bank along with everything he's got. Even if it means asking for help from an enemy."
557,Coffin Rock,2009,Thriller,"A woman unable to conceive a child with her husband, despite years of trying, makes the drunken mistake of sleeping with a young stranger. The stranger then goes to terrifying lengths to prove his paternity.",421,3.35,5.6,21,"Thriller 2009 A woman unable to conceive a child with her husband, despite years of trying, makes the drunken mistake of sleeping with a young stranger. The stranger then goes to terrifying lengths to prove his paternity."
558,American Reunion,2012,Comedy,"The characters we met a little more than a decade ago return to East Great Falls for their high-school reunion. In one long-overdue weekend, they will discover what has changed, who hasn’t, and that time and distance can’t break the bonds of friendship.",35,86.747,6.3,3774,"Comedy 2012 The characters we met a little more than a decade ago return to East Great Falls for their high-school reunion. In one long-overdue weekend, they will discover what has changed, who hasn’t, and that time and distance can’t break the bonds of friendship."
559,Delivery Man,2013,Comedy,An affable underachiever finds out he's fathered 533 children through anonymous donations to a fertility clinic 20 years ago. Now he must decide whether or not to come forward when 142 of them file a lawsuit to reveal his identity.,668,23.345,6.2,1218,Comedy 2013 An affable underachiever finds out he's fathered 533 children through anonymous donations to a fertility clinic 20 years ago. Now he must decide whether or not to come forward when 142 of them file a lawsuit to reveal his identity.
560,Zoolander,2001,Comedy,"Clear the runway for Derek Zoolander, VH1's three-time male model of the year. His face falls when hippie-chic Hansel scooters in to steal this year's award. The evil fashion guru Mugatu seizes the opportunity to turn Derek into a killing machine. It's a well-designed conspiracy and only with the help of Hansel and a few well-chosen accessories like Matilda can Derek make the world safe for male models everywhere.",85,23.135,6.2,3491,"Comedy 2001 Clear the runway for Derek Zoolander, VH1's three-time male model of the year. His face falls when hippie-chic Hansel scooters in to steal this year's award. The evil fashion guru Mugatu seizes the opportunity to turn Derek into a killing machine. It's a well-designed conspiracy and only with the help of Hansel and a few well-chosen accessories like Matilda can Derek make the world safe for male models everywhere."
561,She's Out of My League,2010,Comedy Romance,"When he starts dating drop-dead gorgeous Molly, insecure airport security agent Kirk can't believe it. As his friends and family share their doubts about the relationship lasting, Kirk does everything he can to avoid losing Molly forever.",121,22.569,6.4,1653,"Comedy Romance 2010 When he starts dating drop-dead gorgeous Molly, insecure airport security agent Kirk can't believe it. As his friends and family share their doubts about the relationship lasting, Kirk does everything he can to avoid losing Molly forever."
562,It Follows,2015,Mystery Horror,"After a seemingly innocent sexual encounter, Jay finds herself plagued by strange visions and the inescapable sense that someone, something, is following her.",545,42.589,6.6,5163,"Mystery Horror 2015 After a seemingly innocent sexual encounter, Jay finds herself plagued by strange visions and the inescapable sense that someone, something, is following her."
563,Jupiter Ascending,2015,Action Fantasy Science Fiction,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…",47,97.221,5.4,5853,"Action Fantasy Science Fiction 2015 In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…"
564,The Heartbreak Kid,2007,Comedy Romance,"Eddie, the 40-year-old confirmed bachelor finally says ""I do"" to the beautiful and sexy Lila. But during their honeymoon in Mexico, the woman of his dreams turns out to be a total nightmare, and the guy who could never pull the trigger realizes he’s jumped the gun.",160,19.225,5.7,1310,"Comedy Romance 2007 Eddie, the 40-year-old confirmed bachelor finally says ""I do"" to the beautiful and sexy Lila. But during their honeymoon in Mexico, the woman of his dreams turns out to be a total nightmare, and the guy who could never pull the trigger realizes he’s jumped the gun."
565,Date Night,2010,Comedy Action Adventure,"Phil and Claire Foster fear that their mild-mannered relationship may be falling into a stale rut. During their weekly date night, their dinner reservation leads to their being mistaken for a couple of thieves—and now a number of unsavoury characters want Phil and Claire killed.",135,47.214,6.1,2377,"Comedy Action Adventure 2010 Phil and Claire Foster fear that their mild-mannered relationship may be falling into a stale rut. During their weekly date night, their dinner reservation leads to their being mistaken for a couple of thieves—and now a number of unsavoury characters want Phil and Claire killed."
566,Jersey Boys,2014,Drama Music,"A musical biopic of the Four Seasons—the rise, the tough times and personal clashes, and the ultimate triumph of a group of friends whose music became symbolic of a generation. Far from a mere tribute concert, it gets to the heart of the relationships at the centre of the group, with a special focus on frontman Frankie Valli, the small kid with the big falsetto.",85,13.224,6.8,577,"Drama Music 2014 A musical biopic of the Four Seasons—the rise, the tough times and personal clashes, and the ultimate triumph of a group of friends whose music became symbolic of a generation. Far from a mere tribute concert, it gets to the heart of the relationships at the centre of the group, with a special focus on frontman Frankie Valli, the small kid with the big falsetto."
567,The Girl with the Dragon Tattoo,2011,Crime Mystery Thriller,"This English-language adaptation of the Swedish novel by Stieg Larsson follows a disgraced journalist, Mikael Blomkvist, as he investigates the disappearance of a weary patriarch's niece from 40 years ago. He is aided by the pierced, tattooed, punk computer hacker named Lisbeth Salander. As they work together in the investigation, Blomkvist and Salander uncover immense corruption beyond anything they have ever imagined.",624,20.95,7.4,5770,"Crime Mystery Thriller 2011 This English-language adaptation of the Swedish novel by Stieg Larsson follows a disgraced journalist, Mikael Blomkvist, as he investigates the disappearance of a weary patriarch's niece from 40 years ago. He is aided by the pierced, tattooed, punk computer hacker named Lisbeth Salander. As they work together in the investigation, Blomkvist and Salander uncover immense corruption beyond anything they have ever imagined."
568,Syriana,2005,Drama Thriller,"The Middle Eastern oil industry is the backdrop of this tense drama, which weaves together numerous story lines. Bennett Holiday is an American lawyer in charge of facilitating a dubious merger of oil companies, while Bryan Woodman, a Switzerland-based energy analyst, experiences both personal tragedy and opportunity during a visit with Arabian royalty. Meanwhile, veteran CIA agent Bob Barnes uncovers an assassination plot with unsettling origins.",281,13.555,6.4,1080,"Drama Thriller 2005 The Middle Eastern oil industry is the backdrop of this tense drama, which weaves together numerous story lines. Bennett Holiday is an American lawyer in charge of facilitating a dubious merger of oil companies, while Bryan Woodman, a Switzerland-based energy analyst, experiences both personal tragedy and opportunity during a visit with Arabian royalty. Meanwhile, veteran CIA agent Bob Barnes uncovers an assassination plot with unsettling origins."
569,Blood Diamond,2006,Drama Action Thriller,"An ex-mercenary turned smuggler. A Mende fisherman. Amid the explosive civil war overtaking 1999 Sierra Leone, these men join for two desperate missions: recovering a rare pink diamond of immense value and rescuing the fisherman's son, conscripted as a child soldier into the brutal rebel forces ripping a swath of torture and bloodshed countrywide.",99,84.508,7.5,6180,"Drama Action Thriller 2006 An ex-mercenary turned smuggler. A Mende fisherman. Amid the explosive civil war overtaking 1999 Sierra Leone, these men join for two desperate missions: recovering a rare pink diamond of immense value and rescuing the fisherman's son, conscripted as a child soldier into the brutal rebel forces ripping a swath of torture and bloodshed countrywide."
570,Elektra,2005,Action Fantasy Science Fiction,"Elektra the warrior survives a near-death experience, becomes an assassin-for-hire, and tries to protect her two latest targets, a single father and his young daughter, from a group of supernatural assassins.",157,23.5,5.0,1937,"Action Fantasy Science Fiction 2005 Elektra the warrior survives a near-death experience, becomes an assassin-for-hire, and tries to protect her two latest targets, a single father and his young daughter, from a group of supernatural assassins."
571,One Missed Call,2008,Mystery Horror Thriller,"Several people start receiving voice-mails from their future selves -- messages which include the date, time, and some of the details of their deaths.",575,22.028,5.4,605,"Mystery Horror Thriller 2008 Several people start receiving voice-mails from their future selves -- messages which include the date, time, and some of the details of their deaths."
572,Buddymoon,2016,Comedy,"When David is left by his fiancé just days before the wedding, Flula, his relentlessly upbeat best man, insists that the pair go on David's previously planned honeymoon: a seven-day backpacking trip through the breathtaking mountains of Oregon. Their adventures are bookended with passages from William Clark's diary describing his friendship with Meriwether Lewis and the terrain they crossed during their expedition.",169,3.646,6.1,28,"Comedy 2016 When David is left by his fiancé just days before the wedding, Flula, his relentlessly upbeat best man, insists that the pair go on David's previously planned honeymoon: a seven-day backpacking trip through the breathtaking mountains of Oregon. Their adventures are bookended with passages from William Clark's diary describing his friendship with Meriwether Lewis and the terrain they crossed during their expedition."
573,No Tell Motel,2012,Horror,Dirty little secrets are exposed when five friends become stranded at an abandoned motel haunted by a dark secret of its own.,100,4.804,4.2,26,Horror 2012 Dirty little secrets are exposed when five friends become stranded at an abandoned motel haunted by a dark secret of its own.
574,The Accused,1988,Drama,"After a young woman suffers a brutal rape in a bar one night, a prosecutor assists in bringing the perpetrators to justice, including the ones who encouraged and cheered on the attack.",154,13.69,7.1,411,"Drama 1988 After a young woman suffers a brutal rape in a bar one night, a prosecutor assists in bringing the perpetrators to justice, including the ones who encouraged and cheered on the attack."
575,Judge Dredd,1995,Science Fiction,"In a dystopian future, Dredd, the most famous judge (a cop with instant field judiciary powers) is convicted for a crime he did not commit while his murderous counterpart escapes.",97,25.33,5.7,1898,"Science Fiction 1995 In a dystopian future, Dredd, the most famous judge (a cop with instant field judiciary powers) is convicted for a crime he did not commit while his murderous counterpart escapes."
576,Dancing Ninja,2010,Comedy Crime Action,An orphaned boy who dreams of being a ninja arrives in Hollywood and attempts to find his birth parents.,42,4.931,6.5,10,Comedy Crime Action 2010 An orphaned boy who dreams of being a ninja arrives in Hollywood and attempts to find his birth parents.
577,Hope Floats,1998,Comedy Drama Romance,"Birdee Pruitt has been humiliated on live television by her best friend, Connie, who's been sleeping with Birdee's husband, Bill. Birdee tries starting over with her daughter, Bernice, by returning to her small Texas hometown, but she's faced with petty old acquaintances who are thrilled to see Birdee unhappy -- except for her friend Justin. As he helps Birdee get back on her feet, love begins to blossom.",93,17.788,6.3,333,"Comedy Drama Romance 1998 Birdee Pruitt has been humiliated on live television by her best friend, Connie, who's been sleeping with Birdee's husband, Bill. Birdee tries starting over with her daughter, Bernice, by returning to her small Texas hometown, but she's faced with petty old acquaintances who are thrilled to see Birdee unhappy -- except for her friend Justin. As he helps Birdee get back on her feet, love begins to blossom."
578,Remember the Titans,2000,Drama,"After leading his football team to 15 winning seasons, coach Bill Yoast is demoted and replaced by Herman Boone – tough, opinionated and as different from the beloved Yoast as he could be. The two men learn to overcome their differences and turn a group of hostile young men into champions.",150,28.129,7.6,2103,"Drama 2000 After leading his football team to 15 winning seasons, coach Bill Yoast is demoted and replaced by Herman Boone – tough, opinionated and as different from the beloved Yoast as he could be. The two men learn to overcome their differences and turn a group of hostile young men into champions."
579,At Any Price,2012,Drama Thriller,"Set in the competitive world of modern agriculture, ambitious Henry Whipple wants his rebellious son Dean to help expand his family’s farming empire. However, Dean has his sights set on becoming a professional race car driver. When a high-stakes investigation into their business is exposed, father and son are pushed into an unexpected situation that threatens the family's entire livelihood.",53,10.156,5.3,187,"Drama Thriller 2012 Set in the competitive world of modern agriculture, ambitious Henry Whipple wants his rebellious son Dean to help expand his family’s farming empire. However, Dean has his sights set on becoming a professional race car driver. When a high-stakes investigation into their business is exposed, father and son are pushed into an unexpected situation that threatens the family's entire livelihood."
580,Beverly Hills Cop,1984,Comedy Crime Action,"The heat is on in this fast paced action-comedy starring Eddie Murphy as Axel Foley, a street smart Detroit cop tracking down his best friend's killer in Beverly Hills. Axel quickly learns that his wild style doesn't fit in with the Beverly Hills Police Department, which assigns two officers (Judge Reinhold & John Ashton) to make sure things don't get out of hand. Dragging the stuffy detectives along for the ride, Axel smashes through a huge culture clash in his hilarious, high-speed pursuit of justice. Featuring cameos by Paul Reiser, Bronson Pinchot and Damon Wayans, Beverly Hills Cop is an exhilarating, sidesplitting adventure.",131,30.034,7.2,3164,"Comedy Crime Action 1984 The heat is on in this fast paced action-comedy starring Eddie Murphy as Axel Foley, a street smart Detroit cop tracking down his best friend's killer in Beverly Hills. Axel quickly learns that his wild style doesn't fit in with the Beverly Hills Police Department, which assigns two officers (Judge Reinhold & John Ashton) to make sure things don't get out of hand. Dragging the stuffy detectives along for the ride, Axel smashes through a huge culture clash in his hilarious, high-speed pursuit of justice. Featuring cameos by Paul Reiser, Bronson Pinchot and Damon Wayans, Beverly Hills Cop is an exhilarating, sidesplitting adventure."
